client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
a68f7a8322ae676ad8256e2928e72816acf1105a03f8aff3d282e6f404ec37016ebecf7642ce3b1d1dfe468b2cc23da847f0bbd220782f328c7c4cb0bd6ed630	common_voice_ab_19991493.mp3	Урҭ рмалгьы рыхшарагьы урмеилаҳааит.	1	0	thirties	male		ab	
a68f7a8322ae676ad8256e2928e72816acf1105a03f8aff3d282e6f404ec37016ebecf7642ce3b1d1dfe468b2cc23da847f0bbd220782f328c7c4cb0bd6ed630	common_voice_ab_19991495.mp3	Мамзаргьы ахьы иалхны ҩнык умазароуп, мамзаргьы ажәҩанахь ухалароуп.	1	1	thirties	male		ab	
a68f7a8322ae676ad8256e2928e72816acf1105a03f8aff3d282e6f404ec37016ebecf7642ce3b1d1dfe468b2cc23da847f0bbd220782f328c7c4cb0bd6ed630	common_voice_ab_19991496.mp3	Абри, дара ирыҭоу, иҵабыргыҵәҟьоу ажәоуп.	0	1	thirties	male		ab	
a68f7a8322ae676ad8256e2928e72816acf1105a03f8aff3d282e6f404ec37016ebecf7642ce3b1d1dfe468b2cc23da847f0bbd220782f328c7c4cb0bd6ed630	common_voice_ab_19991893.mp3	Избанзар, адырҩцәа зегьы реиҳа издыруа Аллаҳ дыҟоуп.	1	1	thirties	male		ab	
a68f7a8322ae676ad8256e2928e72816acf1105a03f8aff3d282e6f404ec37016ebecf7642ce3b1d1dfe468b2cc23da847f0bbd220782f328c7c4cb0bd6ed630	common_voice_ab_19991898.mp3	Урҭ ражәақәа улахь еиқәнамҵааит! Ҳәарада, ҳара урҭ ирӡогьы, идырзогьы ҳдыруеит.	1	1	thirties	male		ab	
a68f7a8322ae676ad8256e2928e72816acf1105a03f8aff3d282e6f404ec37016ebecf7642ce3b1d1dfe468b2cc23da847f0bbd220782f328c7c4cb0bd6ed630	common_voice_ab_19991904.mp3	Уи аҟны зынӡа агәыҩбара шәмоукәа сҳәатәы хашәҵа.	0	1	thirties	male		ab	
a68f7a8322ae676ad8256e2928e72816acf1105a03f8aff3d282e6f404ec37016ebecf7642ce3b1d1dfe468b2cc23da847f0bbd220782f328c7c4cb0bd6ed630	common_voice_ab_19991905.mp3	Урҭ ауадаҩрақәа чҳаны, Анцәа иқәгәыӷыз ауаа роуп.	1	1	thirties	male		ab	
a68f7a8322ae676ad8256e2928e72816acf1105a03f8aff3d282e6f404ec37016ebecf7642ce3b1d1dfe468b2cc23da847f0bbd220782f328c7c4cb0bd6ed630	common_voice_ab_19993066.mp3	Уи шәара шәоума иеиззырҳауа, мамзаргьы ҳара ҳакәу?	1	1	thirties	male		ab	
a68f7a8322ae676ad8256e2928e72816acf1105a03f8aff3d282e6f404ec37016ebecf7642ce3b1d1dfe468b2cc23da847f0bbd220782f328c7c4cb0bd6ed630	common_voice_ab_19993067.mp3	Уара, аԥсаԥазы инырхша иуазҵаауеит.	1	1	thirties	male		ab	
a68f7a8322ae676ad8256e2928e72816acf1105a03f8aff3d282e6f404ec37016ebecf7642ce3b1d1dfe468b2cc23da847f0bbd220782f328c7c4cb0bd6ed630	common_voice_ab_19993069.mp3	Иҵабыргыҵәҟьаны, Аллаҳ, Исраил иԥацәа рҟынтә ажәа рымиххьан.	0	1	thirties	male		ab	
2f1d07aecd486adc0feb75297dc2775782552bf39860807439fb6cee282ac5dd7efe172f2897e51bc470b3235c668bcfabb816e3b126a2ec23e3210cb51def37	common_voice_ab_20072541.mp3	Аха урҭ рхы мацара мҩахырҟьоит, уара ԥырхагак уҭара рылшом.	1	0	seventies	male		ab	
2f1d07aecd486adc0feb75297dc2775782552bf39860807439fb6cee282ac5dd7efe172f2897e51bc470b3235c668bcfabb816e3b126a2ec23e3210cb51def37	common_voice_ab_20072543.mp3	Аамҭа анааилак, иҟарҵаз зегьы азы Аллаҳ хаз-хазы дразҵаараны дыҟоуп.	1	0	seventies	male		ab	
2f1d07aecd486adc0feb75297dc2775782552bf39860807439fb6cee282ac5dd7efe172f2897e51bc470b3235c668bcfabb816e3b126a2ec23e3210cb51def37	common_voice_ab_20072546.mp3	Урҭ ргәы ҭҟьаны ианыҭрысша амш иацәшәоит.	1	0	seventies	male		ab	
2f1d07aecd486adc0feb75297dc2775782552bf39860807439fb6cee282ac5dd7efe172f2897e51bc470b3235c668bcfabb816e3b126a2ec23e3210cb51def37	common_voice_ab_20072547.mp3	Аллаҳ изкны мцык аԥшьигоу, мамзаргьы ихшыҩ цахьоу?	1	0	seventies	male		ab	
2f1d07aecd486adc0feb75297dc2775782552bf39860807439fb6cee282ac5dd7efe172f2897e51bc470b3235c668bcfabb816e3b126a2ec23e3210cb51def37	common_voice_ab_20072629.mp3	Уара уаԥхьа инаҳашьҭыз аԥааимбарцәа ирызкыз азакәангьы абри акәын. Ҳара ҳзакәан аҟны ԥсахрак уԥылаӡом.	1	0	seventies	male		ab	
2f1d07aecd486adc0feb75297dc2775782552bf39860807439fb6cee282ac5dd7efe172f2897e51bc470b3235c668bcfabb816e3b126a2ec23e3210cb51def37	common_voice_ab_20072630.mp3	Аибашьра ахашәала, Аллаҳи иԥааимбари иртәуп.	1	0	seventies	male		ab	
2f1d07aecd486adc0feb75297dc2775782552bf39860807439fb6cee282ac5dd7efe172f2897e51bc470b3235c668bcfabb816e3b126a2ec23e3210cb51def37	common_voice_ab_20072672.mp3	Амарџьа, шәыҽгәашәҭа, џьанаҭ шәҭимгааит, мамзар шәгәырӷьара шәцәыӡуеит.	1	0	seventies	male		ab	
a68f7a8322ae676ad8256e2928e72816acf1105a03f8aff3d282e6f404ec37016ebecf7642ce3b1d1dfe468b2cc23da847f0bbd220782f328c7c4cb0bd6ed630	common_voice_ab_20109749.mp3	Убарҭ роуп алашара иазкылсны, ргәыхәтәы иахьӡап ҳәа агәыӷра змоугьы.	0	1	thirties	male		ab	
a68f7a8322ae676ad8256e2928e72816acf1105a03f8aff3d282e6f404ec37016ebecf7642ce3b1d1dfe468b2cc23da847f0bbd220782f328c7c4cb0bd6ed630	common_voice_ab_20109751.mp3	Уи амш аҽны, аҳраҵәҟьа, иаҳзылԥхауа ишитәу шьақәрыӷәӷәахоит, амапкыҩцәа рзы, даараӡа иуадаҩу мшуп.	0	1	thirties	male		ab	
a68f7a8322ae676ad8256e2928e72816acf1105a03f8aff3d282e6f404ec37016ebecf7642ce3b1d1dfe468b2cc23da847f0bbd220782f328c7c4cb0bd6ed630	common_voice_ab_20109752.mp3	Аԥсы иҟынтә абза, абза иҟынтәгьы аԥсы далызхуа иоуп.	1	1	thirties	male		ab	
a68f7a8322ae676ad8256e2928e72816acf1105a03f8aff3d282e6f404ec37016ebecf7642ce3b1d1dfe468b2cc23da847f0bbd220782f328c7c4cb0bd6ed630	common_voice_ab_20109825.mp3	Абри аҟны зыхшыҩ зхы иазырхәо ауаа рзы иаарту аршаҳаҭга ыҟоуп.	1	1	thirties	male		ab	
a68f7a8322ae676ad8256e2928e72816acf1105a03f8aff3d282e6f404ec37016ebecf7642ce3b1d1dfe468b2cc23da847f0bbd220782f328c7c4cb0bd6ed630	common_voice_ab_20109826.mp3	Аллаҳи ишацәеи аԥааимбар кырӡа иқәныҳәоит.	0	1	thirties	male		ab	
a68f7a8322ae676ad8256e2928e72816acf1105a03f8aff3d282e6f404ec37016ebecf7642ce3b1d1dfe468b2cc23da847f0bbd220782f328c7c4cb0bd6ed630	common_voice_ab_20109827.mp3	Урҭ ажәа рҭиицыԥхьаӡа, дара рҟынтә гәыԥҩык уи иаӷрагылома? Урҭ реиҳараҩык усгьы иазхамҵаҩцәақәоуп.	1	1	thirties	male		ab	
a68f7a8322ae676ad8256e2928e72816acf1105a03f8aff3d282e6f404ec37016ebecf7642ce3b1d1dfe468b2cc23da847f0bbd220782f328c7c4cb0bd6ed630	common_voice_ab_20109828.mp3	Аллаҳ ақәыӡбараҿы даараӡа дыӷәӷәоуп.	0	1	thirties	male		ab	
